tradingday,product,weights,dom_contract,vm,closeprice,night,facevalue,target_contract,round_contract,actual_value,abs_actual_value,InstrumentID
20201106,A.DCE,0.035324074,A2101.DCE,10,5222,TRUE,52220,1.35289445,1,52220,52220,a2101
20201106,AG.SHF,-0.013935185,AG2012.SHF,15,5335,TRUE,80025,-0.348270795,0,0,0,ag2012
20201106,AL.SHF,0.013145833,AL2012.SHF,5,14845,TRUE,74225,0.354215785,0,0,0,al2012
20201106,AP.CZC,-0.018131944,AP101.CZC,10,7050,FALSE,70500,-0.514381403,-1,-70500,70500,AP101
20201106,AU.SHF,-0.002430556,AU2012.SHF,1000,408.3,TRUE,408300,-0.011905734,0,0,0,au2012
20201106,B.DCE,-0.010625,B2012.DCE,10,3862,TRUE,38620,-0.55023304,-1,-38620,38620,b2012
20201106,BU.SHF,-0.013972222,BU2012.SHF,10,2130,TRUE,21300,-1.311945749,-1,-21300,21300,bu2012
20201106,C.DCE,0.014876543,C2101.DCE,10,2541,TRUE,25410,1.170920364,1,25410,25410,c2101
20201106,CJ.CZC,-0.016055556,CJ101.CZC,5,9820,FALSE,49100,-0.653994117,-1,-49100,49100,CJ101
20201106,CS.DCE,-0.019476852,CS2101.DCE,10,2832,TRUE,28320,-1.375483888,-1,-28320,28320,cs2101
20201106,CU.SHF,0.004791667,CU2012.SHF,5,51430,TRUE,257150,0.037267483,0,0,0,cu2012
20201106,CY.CZC,-0.007083333,CY101.CZC,5,20485,TRUE,102425,-0.138312587,0,0,0,CY101
20201106,EG.DCE,-0.017249228,EG2101.DCE,10,3667,TRUE,36670,-0.940781478,-1,-36670,36670,eg2101
20201106,FU.SHF,-0.042650463,FU2101.SHF,10,1678,TRUE,16780,-5.08348784,-8,-83900,83900,fu2101
20201106,HC.SHF,0.016049383,HC2101.SHF,10,3920,TRUE,39200,0.818846057,1,39200,39200,hc2101
20201106,I.DCE,0.009189815,I2101.DCE,100,789.5,TRUE,78950,0.232800882,0,0,0,i2101
20201106,J.DCE,0.022658179,J2101.DCE,100,2417.5,TRUE,241750,0.187451326,0,0,0,j2101
20201106,JD.DCE,-0.015486111,JD2101.DCE,10,3970,FALSE,39700,-0.780156731,-1,-39700,39700,jd2101
20201106,JM.DCE,0.017118056,JM2101.DCE,60,1304,TRUE,78240,0.437578107,0,0,0,jm2101
20201106,L.DCE,0.020833333,L2101.DCE,5,7390,TRUE,36950,1.127649978,1,36950,36950,l2101
20201106,M.DCE,-0.033935185,M2101.DCE,10,3260,TRUE,32600,-2.081913203,-2,-65200,65200,m2101
20201106,NI.SHF,0.003402778,NI2102.SHF,1,115960,TRUE,115960,0.05868882,0,0,0,ni2102
20201106,P.DCE,0.032233796,P2101.DCE,10,6524,TRUE,65240,0.988160524,1,65240,65240,p2101
20201106,PB.SHF,0.00279321,PB2012.SHF,5,14280,TRUE,71400,0.078241173,0,0,0,pb2012
20201106,PP.DCE,-0.013040123,PP2101.DCE,5,7948,TRUE,39740,-0.656271941,-1,-39740,39740,pp2101
20201106,RB.SHF,-0.000439815,RB2101.SHF,10,3782,TRUE,37820,-0.023258319,0,0,0,rb2101
20201106,RM.CZC,-0.006697531,RM101.CZC,10,2573,TRUE,25730,-0.520600923,-1,-25730,25730,RM101
20201106,RU.SHF,0.019891975,RU2101.SHF,10,14745,TRUE,147450,0.269813161,0,0,0,ru2101
20201106,SC.INE,-0.047060185,SC2012.INE,1000,230.7,TRUE,230700,-0.407977332,1,0,0,sc2012
20201106,SF.CZC,-0.010648148,SF101.CZC,5,6002,FALSE,30010,-0.709639997,-1,-30010,30010,SF101
20201106,SM.CZC,-0.020509259,SM101.CZC,5,6134,FALSE,30670,-1.337415016,-1,-30670,30670,SM101
20201106,SN.SHF,0.013827161,SN2101.SHF,1,146740,TRUE,146740,0.18845796,0,0,0,sn2101
20201106,SP.SHF,-0.038020833,SP2012.SHF,10,4644,TRUE,46440,-1.637417457,-2,-92880,92880,sp2012
20201106,SR.CZC,0.013804012,SR101.CZC,10,5121,TRUE,51210,0.539113937,1,51210,51210,SR101
20201106,TA.CZC,-0.035503858,TA101.CZC,5,3228,TRUE,16140,-4.399486745,-4,-64560,64560,TA101
20201106,V.DCE,0.026628086,V2101.DCE,5,7120,TRUE,35600,1.495959912,1,35600,35600,v2101
20201106,Y.DCE,0.022915895,Y2101.DCE,10,7508,TRUE,75080,0.6104394,1,75080,75080,y2101
20201106,ZC.CZC,0.008520833,ZC101.CZC,100,602.4,TRUE,60240,0.282896193,0,0,0,ZC101
20201106,ZN.SHF,0.026574074,ZN2012.SHF,5,19975,TRUE,99875,0.532146665,1,99875,99875,zn2012
